,bps,买成交数量,买成交额,卖成交数量,卖成交额
000008,-66.44518272425404,36100.0,108661.0,36100.0,107938.99999999999
000009,106.52192427486717,46700.0,328768.0,46700.0,332270.1
000012,-86.7793552174767,24800.0,117325.14,24800.0,116306.99999999999
000021,-290.0138397826002,15770.0,376450.99999999994,15770.0,365533.39999999997
000025,25.09873972153187,8870.0,161004.1,8870.0,161408.19999999995
000027,-34.30279080984033,26400.0,145964.8,26400.0,145464.09999999998
000028,14.711751069571566,9620.0,385243.06000000006,9620.0,385809.82000000007
000031,28.815840537703696,23700.0,121107.0,23700.0,121455.97999999998
000039,-69.4483891802744,19270.0,142595.1,19270.0,141604.8
000046,-45.828460038985774,28500.0,102600.0,28500.0,102129.8
000050,-204.91390968088385,33085.0,488649.6,33085.0,478636.49
000060,-53.529614325069645,44800.0,162624.0,44800.0,161753.47999999998
000061,-162.01958121168647,11800.0,95346.5,11800.0,93801.7
000062,10.591386248346435,10380.0,128510.09000000001,10380.0,128646.2
000078,-7.6142131979684,29200.0,115048.0,29200.0,114960.40000000001
000089,-18.667475958563664,38004.0,308022.36,38004.0,307447.36
000090,-191.08259159594354,27800.0,181162.5,27800.0,177700.8
000156,293.6148689745255,11370.0,124952.79999999999,11370.0,128621.59999999999
000158,-359.4988092823037,19653.0,200131.40000000002,19653.0,192936.69999999998
000301,-64.33823529411798,34000.0,184960.0,34000.0,183770.0
000400,-15.571510838766622,23700.0,313264.39999999997,23700.0,312776.6
000401,-18.846776780357956,21340.0,382118.39,21340.0,381398.22000000003
000402,-23.510853972809052,61704.0,415084.88,61704.0,414108.9799999999
000415,140.79785450888284,45600.0,143184.0,45600.0,145200.0
000488,-38.56617537146057,23800.0,117071.5,23800.0,116620.0
000501,-70.63882416354473,14638.0,209122.96000000002,14638.0,207645.74000000002
000513,35.22930016179649,13565.0,546800.53,13565.0,548726.87
000519,-90.6112124976044,14000.0,128331.8,14000.0,127168.97
000528,-18.82985249169966,23000.0,149815.3,23000.0,149533.2
000537,149.78726609147452,9600.0,64794.56,9600.0,65765.1
000543,-25.12953867723766,59650.0,233231.5,59650.0,232645.4
000547,47.74171948832784,30150.0,445051.00000000006,30150.0,447175.75
000553,-6.542936472140326,19130.0,177596.09999999998,19130.0,177479.9
000559,-43.24794045005187,27420.0,134179.8,27420.0,133599.5
000563,26.48142061964398,43320.0,153352.8,43320.0,153758.9
000581,-145.45669423109865,10920.0,219659.88,10920.0,216464.78000000003
000598,-6.866290970589661,43805.0,208555.1,43805.0,208411.89999999997
000600,-5.098859414379708,12600.0,61582.4,12600.0,61550.99999999999
000623,12.219891422446949,20625.0,318808.06999999995,20625.0,319197.64999999997
000629,-247.52475247524774,77200.0,155944.0,77200.0,152084.0
000630,-101.06282891869101,135900.0,262219.06,135900.0,259569.0
000636,-187.97345571880618,18840.0,518514.7,18840.0,508768.0
000681,107.76108510451633,7769.0,157413.03999999998,7769.0,159109.34000000003
000685,-13.468137383766399,59060.0,456484.80000000005,59060.0,455869.99999999994
000686,13.571962939518123,25800.0,217212.5,25800.0,217507.30000000002
000690,-18.025670797028326,60540.0,296188.69999999995,60540.0,295654.8
000712,71.24597270677491,8134.0,103388.3,8134.0,104124.9
000717,-226.48196248196362,22500.0,86625.0,22500.0,84663.09999999999
000718,-63.89776357827448,29000.0,90770.0,29000.0,90190.0
000729,176.29031912945737,26270.0,168245.2,26270.0,171211.19999999995
000732,140.19602019602172,18500.0,84175.0,18500.0,85355.1
000738,-70.41822326308123,10802.0,146007.66,10802.0,144979.5
000739,115.24238891740256,14070.0,262068.5,14070.0,265088.64
000750,-18.326085803679337,69200.0,301712.0,69200.0,301159.08
000758,0.0,24300.0,111294.0,24300.0,111294.0
000778,-59.1715976331364,43000.0,145340.0,43000.0,144480.0
000785,-27.26462689189524,11600.0,95618.40000000001,11600.0,95357.70000000001
000800,-109.54164190860594,17000.0,180917.5,17000.0,178935.69999999998
000807,68.73035277680906,28000.0,114520.0,28000.0,115307.1
000813,-158.51562862848724,15800.0,86124.0,15800.0,84758.80000000002
000825,-59.70149253731294,42200.0,141370.0,42200.0,140526.0
000826,-12.123818633121841,13400.0,102772.9,13400.0,102648.3
000830,-133.80336301715312,21050.0,154742.0,21050.0,152671.49999999997
000848,201.55593337370937,12290.0,89096.36,12290.0,90892.15
000869,86.08020267627525,5242.0,149613.96,5242.0,150901.84
000877,-198.42771476213161,20326.0,270340.26,20326.0,264975.95999999996
000878,76.64119229241484,22184.0,214610.44,22184.0,216255.24
000883,26.106092766429168,43630.0,153680.59999999998,43630.0,154081.80000000002
000887,-70.43224320255392,13800.0,110262.0,13800.0,109485.4
000898,-39.68253968253843,44600.0,112392.0,44600.0,111946.00000000001
000930,4.542269129170773,25890.0,182507.9,25890.0,182590.8
000932,-179.028132992326,33400.0,130594.0,33400.0,128256.00000000001
000937,-65.78947368421018,20500.0,62320.0,20500.0,61910.0
000959,-94.4625407166133,29600.0,90872.0,29600.0,90013.59999999999
000960,-18.569611740878457,23290.0,199562.6,23290.0,199192.02
000967,-29.031251587250395,16800.0,137817.0,16800.0,137416.9
000970,18.56669341000039,16345.0,167057.21,16345.0,167367.38
000975,2.456249745539374,22650.0,365231.58999999997,22650.0,365321.30000000005
000983,-61.72839506172867,76000.0,369360.0,76000.0,367080.0
000987,-16.246888808656436,10130.0,125193.2,10130.0,124989.8
000988,-171.0491442389017,20384.0,419109.96,20384.0,411941.12
000990,-172.66994062503093,11460.0,136572.7,11460.0,134214.5
000997,-0.24856603629830332,14240.0,232533.78,14240.0,232528.0
000998,35.975201617068905,23230.0,388228.54,23230.0,389625.2
000999,-23.60072470000918,11864.0,328091.62,11864.0,327317.3
001872,-8.748786789332108,6240.0,87783.6,6240.0,87706.8
001914,330.8447702020545,17650.0,594961.7999999999,17650.0,614645.8
002002,-99.33840229090607,28000.0,108865.25,28000.0,107783.79999999999
002004,-8.767993857881073,38590.0,199019.3,38590.0,198844.80000000002
002010,-29.76941894715757,24300.0,140211.0,24300.0,139793.6
002013,-151.01327837503175,33100.0,273128.3,33100.0,269003.70000000007
002019,76.69592796855085,15152.0,304158.26,15152.0,306491.02999999997
002028,100.77889146619334,17878.0,341174.61999999994,17878.0,344612.93999999994
002030,95.11356507429625,19050.0,410028.79,19050.0,413928.72
002038,9.477379575206779,11400.0,131618.65999999997,11400.0,131743.4
002048,-48.76721200916978,9610.0,155573.79,9610.0,154815.1
002051,-160.198857201147,8900.0,66660.9,8900.0,65593.0
002056,47.755018372785955,18680.0,206550.02000000002,18680.0,207536.39999999997
002064,-18.65671641791078,25100.0,134536.0,25100.0,134285.0
002074,107.88298354951209,57407.0,1948005.0799999998,57407.0,1969020.7400000002
002075,184.78944337609659,45448.0,589385.4,45448.0,600276.6199999999
002078,-22.373629821871297,28692.0,255202.21999999997,28692.0,254631.24
002080,-28.553347533896158,20060.0,250285.89000000004,20060.0,249571.24
002081,-97.04583824352797,46130.0,382876.8,46130.0,379161.14
002085,11.183356108317444,32388.0,212440.69999999998,32388.0,212678.28
002092,-104.06772384555451,31800.0,149076.0,31800.0,147524.6
002093,20.645161290322456,8870.0,78275.0,8870.0,78436.59999999999
002110,-111.5637442592099,41006.0,286741.9,41006.0,283542.9
002118,-85.56333797680837,14800.0,61591.8,14800.0,61064.8
002124,74.84329972511361,15150.0,162539.6,15150.0,163756.1
002127,249.86202938130697,33421.0,632906.49,33421.0,648720.4199999999
002128,-56.8746651471197,15840.0,129161.2,15840.0,128426.59999999998
002131,-120.19230769230616,123500.0,513760.0,123500.0,507585.00000000006
002138,-66.90493098735928,16050.0,400339.7,16050.0,397661.23
002152,70.28440472659713,27294.0,319793.56,27294.0,322041.20999999996
002155,-34.294645282643145,24160.0,193995.3,24160.0,193330.0
002156,-17.505384102077805,14698.0,359809.3,14698.0,359179.44
002174,-36.35117259959242,14237.0,292221.66,14237.0,291159.4
002183,233.7600270574325,27700.0,136007.0,27700.0,139186.30000000002
002185,-9.986650297706401,43460.0,600942.24,43460.0,600342.1
002191,-13.971319111730773,17800.0,158753.8,17800.0,158532.0
002195,-34.36426116838476,103500.0,301185.0,103500.0,300150.0
002203,-4.940582137995531,24180.0,213942.4,24180.0,213836.7
002212,85.00403832411685,15720.0,419109.5,15720.0,422672.10000000015
002217,-323.8636363636371,34200.0,180576.0,34200.0,174727.8
002221,-93.77956463366365,29160.0,274398.8,29160.0,271825.5
002223,13.874580282449145,13030.0,413057.5399999999,13030.0,413630.64
002233,15.316367559741195,40482.0,503017.43999999994,40482.0,503787.88
002242,134.1485228749262,7614.0,241396.62000000002,7614.0,244634.92
002244,13.731287389602276,51280.0,221100.9,51280.0,221404.49999999997
002249,-84.5070422535199,25300.0,89815.0,25300.0,89056.00000000001
002250,0.41948973757088837,14470.0,245536.40000000002,14470.0,245546.70000000004
002266,-86.24845984893103,28500.0,112002.0,28500.0,111036.0
002268,-34.25346557571318,14350.0,305872.7,14350.0,304824.98
002273,-144.3663897275127,28665.0,466144.51,28665.0,459414.94999999995
002281,-274.2313485725556,8240.0,246499.90000000002,8240.0,239740.1
002285,-178.57142857142793,22300.0,62439.99999999999,22300.0,61325.0
002294,102.64676738677814,8650.0,174551.03999999998,8650.0,176342.75
002302,6.252061405886966,9510.0,95808.40000000001,9510.0,95868.29999999999
002317,48.41426328917598,16340.0,199011.6,16340.0,199975.1
002340,-53.09734513274211,69100.0,312331.99999999994,69100.0,310673.6
002353,-103.49323484406425,13400.0,362245.89999999997,13400.0,358496.9
002368,-124.5897768511628,10790.0,449261.58,10790.0,443664.23999999993
002372,58.951449362132365,11970.0,145982.84,11970.0,146843.43000000002
002373,-218.55833066869667,17210.0,400367.26,17210.0,391616.9
002375,2.559859573416645,12940.0,131257.2,12940.0,131290.8
002382,193.8522526622233,14250.0,333840.32999999996,14250.0,340311.89999999997
002385,119.65769176339514,53800.0,455419.94999999995,53800.0,460869.4
002387,-213.87781734145128,14933.0,200034.76999999996,14933.0,195756.47000000003
002390,19.44929314402488,27860.0,124374.7,27860.0,124616.6
002396,-110.54165560851037,9720.0,334217.9,9720.0,330523.4000000001
002399,-52.34935851344491,7870.0,173984.94000000003,7870.0,173074.14
002407,-114.22540132568604,13850.0,151940.81,13850.0,150205.26
002408,-70.95709570957287,12900.0,78174.0,12900.0,77619.29999999999
002414,57.97299499443076,23891.0,629177.43,23891.0,632824.96
002416,15.065809620378179,10900.0,80593.08,10900.0,80714.5
002419,-253.87877988748198,9100.0,91008.0,9100.0,88697.5
002423,-15.465202500473119,7290.0,62980.1,7290.0,62882.7
002424,-31.836954311144083,15020.0,124892.6,15020.0,124494.98000000001
002429,-220.53039603510237,33710.0,175944.0,33710.0,172063.9
002434,25.877853808904394,41790.0,367495.69999999995,41790.0,368446.70000000007
002439,169.82486064790027,16463.0,639270.9500000001,16463.0,650127.3600000001
002440,-59.35090566843826,23850.0,219086.8,23850.0,217786.5
002444,-177.8439867203363,9790.0,108894.31999999999,9790.0,106957.69999999998
002458,-180.64323688140925,23846.0,382857.4,23846.0,375941.33999999997
002465,-109.91907255036404,77274.0,969190.31,77274.0,958537.06
002470,-123.96694214875991,32000.0,77440.0,32000.0,76480.0
002491,-19.53395583386697,16430.0,86618.40000000001,16430.0,86449.19999999998
002500,14.794628582635028,39900.0,284535.7,39900.0,284956.66000000003
002503,0.7994186046511587,34400.0,96320.0,34400.0,96327.7
002505,-1.1102230246251565e-12,45400.0,113954.0,45400.0,113953.99999999999
002506,113.20754716981129,55300.0,146545.0,55300.0,148204.0
002507,269.7520039026702,10880.0,380457.6,10880.0,390720.52
002511,179.62393980156978,12950.0,259452.61,12950.0,264113.0
002544,-83.53147873377375,7180.0,96646.20000000001,7180.0,95838.90000000001
002557,178.272069952341,10086.0,559887.4800000001,10086.0,569868.7100000001
002563,-34.41899015495409,15880.0,118672.86000000002,15880.0,118264.4
002572,199.58038421713954,27998.0,681280.38,27998.0,694877.3999999999
002583,-387.84872628251145,17100.0,124270.1,17100.0,119450.29999999997
002589,-40.89219330855154,19600.0,105448.0,19600.0,105016.79999999999
002595,-3.857474679672679,11238.0,207908.04,11238.0,207827.83999999997
002603,1.9602277457786421,18884.0,516470.60000000003,18884.0,516571.83999999997
002625,-120.26736782503322,15700.0,120448.3,15700.0,118999.70000000001
002635,-30.59641231548449,13040.0,287059.80000000005,13040.0,286181.5
002640,-216.57266091572592,19800.0,108504.0,19800.0,106154.1
002648,-83.43968132641488,10800.0,148490.5,10800.0,147251.5
002653,76.83432005340052,5980.0,138164.81999999998,5980.0,139226.40000000002
002665,-75.7575757575757,35400.0,93456.0,35400.0,92748.0
002670,32.73944008262531,33400.0,298007.54,33400.0,298983.2
002690,-36.50570336239278,7480.0,336517.27999999997,7480.0,335288.80000000005
002701,-11.899769937782079,26400.0,105884.40000000001,26400.0,105758.4
002709,-2.2661647909416605,9480.0,270324.55999999994,9480.0,270263.30000000005
002745,-107.78352058868457,9690.0,127579.8,9690.0,126204.69999999998
002797,-22.30416019005088,53620.0,378090.9,53620.0,377247.6
002807,-24.33090024331119,79600.0,327156.0,79600.0,326359.99999999994
002815,-55.243841371811484,10350.0,204692.5,10350.0,203561.70000000004
002818,-97.58716892152464,3560.0,42833.50000000001,3560.0,42415.49999999999
002821,150.8929158778094,3626.0,769498.02,3626.0,781109.2000000001
002831,-144.76753577675527,10790.0,287861.5,10790.0,283694.19999999995
002839,-33.519613503576466,41110.0,221870.1,41110.0,221126.40000000002
002867,-24.76675374526782,8975.0,187570.0,8975.0,187105.45
002901,20.587265180223024,1876.0,168142.78,1876.0,168488.94
002920,267.5332241201089,6450.0,348797.8,6450.0,358129.30000000005
002925,-97.23380496699407,4240.0,212241.0,4240.0,210177.30000000002
002926,-4.521524318632508,23500.0,246930.0,23500.0,246818.35
002936,-25.90673575129543,35300.0,136258.0,35300.0,135905.0
002941,18.85124556676221,6360.0,93892.99999999999,6360.0,94069.99999999999
002946,122.21833388054159,11280.0,203457.19999999998,11280.0,205943.82
002948,-30.18108651911433,31400.0,156058.0,31400.0,155587.0
002957,-25.49149482543589,1940.0,47859.10000000001,1940.0,47737.10000000001
300001,-55.13281560070138,15480.0,314545.88,15480.0,312811.69999999995
300002,-28.551844520562362,41940.0,263275.45999999996,41940.0,262523.76
300009,145.2308999031837,18036.0,268057.28,18036.0,271950.3
300010,-56.903646941959266,13740.0,239597.99999999997,13740.0,238234.6
300012,108.3963802847343,28400.0,511386.07999999996,28400.0,516929.31999999995
300017,-110.0714278845627,36830.0,301576.9,36830.0,298257.4
300024,-93.69025067440751,23050.0,308329.84,23050.0,305441.09
300026,0.16534391534372972,32400.0,163296.0,32400.0,163298.7
300058,118.82625883771868,54596.0,407480.64,54596.0,412322.57999999996
300070,-137.57029981928736,36111.0,296186.75,36111.0,292112.1
300072,-158.7120037220835,24800.0,103168.0,24800.0,101530.6
300088,-191.17233255325772,45600.0,457733.6,45600.0,448983.0
300113,-153.76326020538178,7990.0,162729.38,7990.0,160227.19999999995
300115,-107.3491077463673,13910.0,273296.17,13910.0,270362.36000000004
300133,-236.99789753236723,22540.0,166280.80000000002,22540.0,162339.98
300134,-26.66584147957618,12010.0,168042.7,12010.0,167594.6
300166,1.5198043743103185,17120.0,249374.2,17120.0,249412.10000000003
300168,39.35343820700376,28030.0,557882.64,28030.0,560078.1
300180,15.711900597155104,23870.0,204488.31,23870.0,204809.6
300182,-82.51580834474636,37130.0,178608.2,37130.0,177134.4
300197,-189.39393939394145,28700.0,75768.0,28700.0,74332.99999999999
300207,-240.88827383338173,25925.0,421295.30999999994,25925.0,411146.8
300212,3.1855983001705113,8256.0,403503.48,8256.0,403632.0200000001
300244,20.85314022427509,16670.0,463958.89999999997,16670.0,464926.39999999997
300251,12.529478710798791,21200.0,255693.0,21200.0,256013.37000000002
300253,139.60062500730785,34530.0,797353.8799999999,34530.0,808484.9900000001
300257,-386.8985401205527,7530.0,91843.2,7530.0,88289.8
300271,49.749679072015326,21614.0,586315.3400000001,21614.0,589232.24
300274,71.52641281489514,21240.0,247412.1,21240.0,249181.75
300285,-185.82569444370313,19641.0,505066.86000000004,19641.0,495681.42
300296,-96.99553660648897,31900.0,195143.0,31900.0,193250.19999999998
300315,-98.4281042304036,50030.0,331765.0,50030.0,328499.5
300316,39.46463766160369,12950.0,292231.24,12950.0,293384.5200000001
300324,-278.72164181627636,21920.0,141969.6,21920.0,138012.6
300357,107.30518532913402,9742.0,546489.9,9742.0,552354.02
300376,-34.74952572996126,31800.0,154131.6,31800.0,153596.0
300418,-6.997265614469006,18140.0,409945.85,18140.0,409659.00000000006
